# WAVELENGTH THROUGHPUT
9.682000122070312242e-01 0.000000000000000000e+00
9.692000122070312251e-01 0.000000000000000000e+00
9.702000122070312260e-01 5.077655304746889267e-06
9.712000122070312269e-01 6.027538794925794524e-06
9.722000122070312278e-01 7.002106704209759258e-06
9.732000122070312287e-01 7.979833975916805937e-06
9.742000122070312296e-01 8.880255596891697620e-06
9.752000122070312305e-01 9.762961927962643643e-06
9.762000122070312313e-01 1.066873486430923423e-05
9.772000122070312322e-01 1.178236195017378182e-05
9.782000122070312331e-01 1.321021347327989973e-05
9.792000122070312340e-01 1.516631385151538092e-05
9.802000122070312349e-01 1.778441549939826889e-05
9.812000122070312358e-01 2.132196318429844403e-05
9.822000122070312367e-01 2.611591241852062378e-05
9.832000122070312376e-01 3.248778480381358624e-05
9.842000122070312385e-01 4.071494299679219447e-05
9.852000122070312393e-01 5.121104449813701525e-05
9.862000122070312402e-01 6.401925799974885530e-05
9.872000122070312411e-01 7.934032139714911123e-05
9.882000122070312420e-01 9.723367078612272845e-05
9.892000122070312429e-01 1.176976187994946990e-04
9.902000122070312438e-01 1.409452654068421335e-04
9.912000122070312447e-01 1.668259859024321789e-04
9.922000122070312456e-01 1.960300143327326243e-04
9.932000122070312464e-01 2.293862362957713500e-04
9.942000122070312473e-01 2.684036271134773157e-04
9.952000122070312482e-01 3.149009709650821102e-04
9.962000122070312491e-01 3.726379201291836105e-04
9.972000122070312500e-01 4.465632432884533752e-04
9.982000122070312509e-01 1.318851269233234542e-02
9.992000122070312518e-01 2.744596704416640831e-02
1.000200012207031142e+00 4.342348395919355675e-02
1.001200012207031254e+00 4.838923691281050987e-02
1.002200012207031143e+00 5.429926019246728713e-02
1.003200012207031255e+00 6.034496887823009859e-02
1.004200012207031145e+00 6.786714203400727452e-02
1.005200012207031257e+00 7.618562942658285708e-02
1.006200012207031147e+00 8.699241330056810273e-02
1.007200012207031259e+00 9.914925523518976214e-02
1.008200012207031149e+00 1.129296676375372704e-01
1.009200012207031261e+00 1.282717406115196912e-01
1.010200012207031151e+00 1.445988475323701228e-01
