# WAVELENGTH THROUGHPUT
3.696969215000000641e+00 0.000000000000000000e+00
3.698320446999999955e+00 0.000000000000000000e+00
3.699671679000000157e+00 2.451928222393409923e-04
3.701022910999999915e+00 2.573602352051324862e-04
3.702374142000000035e+00 2.725476881893690350e-04
3.703725373000000154e+00 2.853473518522684892e-04
3.705076604999999912e+00 3.013391296514604891e-04
3.706427836000000031e+00 3.199167959414055086e-04
3.707779067999999789e+00 3.368578806642895168e-04
3.709130298999999908e+00 3.553571555543839824e-04
3.710481531000000111e+00 3.716260465853784677e-04
3.711832761999999786e+00 3.884393432908800152e-04
3.713183992999999905e+00 4.116205759287285557e-04
3.714535225000000107e+00 4.329985309586475766e-04
3.715886455999999782e+00 4.540868229365949832e-04
3.717237687999999984e+00 4.794398933047060466e-04
3.718588919000000104e+00 5.016196933697225548e-04
3.719940150999999862e+00 5.257048639434564819e-04
3.721291381999999981e+00 5.567613677482435505e-04
3.722642614000000183e+00 5.887169401465155213e-04
3.723993844999999858e+00 6.235311062202645487e-04
3.725345075999999978e+00 6.596067375322120334e-04
3.726696308000000180e+00 6.957289771632455596e-04
3.728047538999999855e+00 7.407541243538510447e-04
3.729398771000000057e+00 7.871392469435909691e-04
3.730750002000000176e+00 8.285307745230100288e-04
3.732101233999999934e+00 8.754115472777536985e-04
3.733452465000000053e+00 9.249640526833755819e-04
3.734803696000000173e+00 9.762560716815695330e-04
3.736154927999999931e+00 1.036804345714425948e-03
3.737506159000000050e+00 1.098014962641538986e-03
3.738857390999999808e+00 1.159615050984310215e-03
3.740208621999999927e+00 1.230150817534856385e-03
3.741559854000000129e+00 1.302426297397120576e-03
3.742911084999999805e+00 1.377890473296985042e-03
3.744262317000000007e+00 1.461407847747647542e-03
3.745613548000000126e+00 1.544635435774727649e-03
3.746964778999999801e+00 1.631910352943801009e-03
3.748316011000000003e+00 1.728559091446484021e-03
3.749667242000000122e+00 1.829962255943457482e-03
3.751018473999999880e+00 1.942591132443959034e-03
3.752369705000000000e+00 2.063913302994298173e-03
3.753720937000000202e+00 2.185321349623806954e-03
3.755072167999999877e+00 2.315966046335546109e-03
3.756423400000000079e+00 2.456133361982038629e-03
3.757774631000000198e+00 2.600304101320691317e-03
3.759125861999999874e+00 2.758299071485885434e-03
3.760477094000000076e+00 2.928328806792563754e-03
3.761828325000000195e+00 3.103952365977272025e-03
3.763179556999999953e+00 3.292669943793432533e-03
